0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:45 +0530] "POST /Task1/signup HTTP/1.1" 200 2386
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:45 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:29:04 +0530] "POST /Task1/login HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:29:16 +0530] "POST /Task1/login HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:29:28 +0530] "POST /Task1/login HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:29:48 +0530] "POST /Task1/signup HTTP/1.1" 412 675
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:29:55 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:29:55 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:29:55 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:29:55 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:29:56 +0530] "GET /Task1/login.html HTTP/1.1" 200 2386
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:29:56 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:30:01 +0530] "POST /Task1/login HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:30:09 +0530] "POST /Task1/login HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:30:12 +0530] "GET /Task1/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:30:12 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:30:12 +0530] "GET /Task1/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:30:12 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:30:12 +0530] "GET /Task1/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:30:12 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:30:12 +0530] "GET /Task1/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:30:12 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:30:12 +0530] "GET /Task1/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:30:12 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:30:13 +0530] "GET /Task1/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:30:13 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:30:13 +0530] "GET /Task1/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:30:13 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:30:13 +0530] "GET /Task1/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:30:13 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:30:13 +0530] "GET /Task1/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:30:13 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:30:13 +0530] "GET /Task1/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:30:13 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:12:53:08 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:12:53:08 +0530] "GET /Task1/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:12:53:08 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:12:53:08 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:12:53:08 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:12:53:09 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:12:53:09 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:12:53:18 +0530] "POST /Task1/signup HTTP/1.1" 200 2544
0:0:0:0:0:0:0:1 - - [27/Dec/2022:12:53:24 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:12:53:24 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:12:57:05 +0530] "GET /Task1/login.html HTTP/1.1" 200 2514
0:0:0:0:0:0:0:1 - - [27/Dec/2022:12:57:05 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:12:57:11 +0530] "POST /Task1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:12:57:21 +0530] "POST /Task1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:12:58:17 +0530] "GET /Task1/register.html HTTP/1.1" 200 3628
0:0:0:0:0:0:0:1 - - [27/Dec/2022:12:58:17 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
